17 60 -8 30
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0	0	0	0	0	2	0	2000	0	0	0	0	0	0	0	1
1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
1	0	0	0	0	0	1	1	2	2	1	1	1	1	1	0	1
1	0	0	0	0	0	0	1	2	2	1	0	0	0	1	0	1
1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
1	1	1	1	1	1	2	1	1	0	0	0	0	0	1	0	1
1	0	2	404	404	404	404	404	1	0	0	0	0	0	1	0	1
1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1
1	104	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1
1	104	1	0	0	0	0	0	0	0	1	304	1	0	0	0	1
1	104	1	0	1	1	1	1	1	1	1	304	1	1	1	1	1
1	104	1	0	0	0	0	0	0	0	0	304	304	304	0	0	1
1	104	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
1	104	1	0	0	404	404	404	404	404	0	0	0	0	1	0	1
1	104	1	0	0	404	404	404	404	404	0	0	0	0	1	0	1
1	104	1	0	0	1	1	1	1	1	1	1	104	104	1	0	1
1	104	1	0	0	1	0	0	0	0	0	0	104	104	1	0	1
1	104	1	0	0	1	0	0	2	0	0	1	104	104	1	0	1
1	104	1	0	0	1	2	0	0	0	0	0	104	104	1	0	1
1	104	1	304	304	1	0	0	0	0	1	0	104	104	1	0	1
1	104	1	304	304	1	0	0	1	0	0	0	104	104	1	0	1
1	104	1	304	304	1	0	0	0	2	0	0	104	104	1	0	1
1	104	1	304	304	1	0	0	0	1	0	1	104	104	1	0	1
1	104	1	304	304	1	1	0	0	1	0	1	104	104	1	0	1
1	104	1	304	304	1	0	0	1	1	0	0	2	1	1	0	1
1	104	1	304	304	2	0	1	0	0	1	0	0	0	1	0	1
1	104	1	304	304	0	1	0	0	0	1	1	0	0	1	0	1
1	104	1	304	304	0	1	0	0	0	1	0	1	0	1	0	1
1	104	1	304	304	0	1	0	0	0	1	0	1	0	1	0	1
1	104	1	304	304	0	1	0	0	0	1	0	1	0	1	0	1
1	0	0	304	304	0	2	0	0	0	2	0	2	0	2	0	1
1	0	0	304	304	0	2	0	0	0	2	0	2	0	2	0	1
1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	104	104	1
1	0	0	0	0	1	1	1	1	1	1	1	1	1	104	104	1
1	0	0	404	404	404	404	404	404	404	404	404	404	1	104	104	1
1	1	1	1	1	1	1	1	1	1	1	0	0	1	104	104	1
1	0	0	404	404	404	404	404	404	404	404	404	404	1	104	104	1
1	0	0	404	404	404	404	404	404	404	404	404	404	1	104	104	1
1	0	0	1	1	1	1	1	1	1	1	1	1	1	104	104	1
1	204	204	204	204	204	204	204	204	204	204	0	0	1	104	104	1
1	204	204	204	204	204	204	204	204	204	204	0	0	1	104	104	1
1	1	1	1	1	1	1	1	1	1	1	0	0	1	104	104	1
1	0	0	404	404	404	404	404	404	404	404	404	404	1	104	104	1
1	0	0	404	404	404	404	404	404	404	404	404	404	1	104	104	1
1	0	0	1	1	1	1	1	1	1	1	1	1	1	2	2	1
1	204	204	204	204	204	204	204	204	0	0	0	0	0	0	0	1
1	204	204	204	204	204	204	204	204	0	0	0	0	0	0	0	1
1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
1	404	404	404	404	404	404	404	404	404	404	404	404	404	404	404	1
1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	0	204	204	204	204	0	0	0	404	404	404	404	0	0	1
1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1
1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
